#[nutdb][v57][base-10.19.18][dlc-10.19.18][m22]
id|rightsId|key|isDemo|name|region
010038b0084ea000|010038b0084ea0000000000000000004|00000000000000000000000000000000|0|#Breakforcist Battle|US
01000320000cc000|01000320000cc0000000000000000000|f64fbe562e753b662f7cc8d6c8b4ee79|0|1-2-Switch|US
01004d1007926000|01004d10079260000000000000000004|6a08e552409d7ad317d0bef2d164efe6|0|10 Second Run RETURNS|US
0100dc000a472000|0100dc000a4720000000000000000004|6bf07049671879df043a8d9d5eae1fe9|1|10 Second Run RETURNS|US
010063e00bbdc000|00000000000000000000000000000000|00000000000000000000000000000000|0|1001 Ultimate Mahjong ™ 2|US
0100a840047c2000|0100a840047c20000000000000000003|85662476dd683d77dbf2c0d7e30979b5|0|12 orbits|US
01005ca0099aa000|01005ca0099aa0000000000000000004|40ef85f5f4c1d38634ccd827c7f6fdff|0|1917 - The Alien Invasion DX|US
0100d1000b18c000|0100d1000b18c0000000000000000004|89f41af15d4df0e32894710fdb733811|0|1979 Revolution: Black Friday|US
010024c0067c4000|010024c0067c40000000000000000004|e2a3375285b59964ba97f3e5b8628e08|0|2064: Read Only Memories INTEGRAL|US
0100749009844000|01007490098440000000000000000004|933de38af90d8998d4072f096e188842|0|20XX|US
0100023009c72000|0100023009c720000000000000000003|e960b63ad9b0cb30c887237a740fd4a9|0|30-in-1 Game Collection: Volume 1|GB
01003670066de000|01003670066de0000000000000000000|d1d2048621cdf33837f1797e217cd3b7|0|36 Fragments of Midnight|US
01006da00707c000|01006da00707c0000000000000000003|00000000000000000000000000000000|0|3D MiniGolf|US
0100969005e98000|0100969005e980000000000000000003|9aea01e5d25708aa8f63b5b1d6f59a5e|0|60 Seconds!|US
010075f00b0d0000|010075f00b0d00000000000000000004|00000000000000000000000000000000|0|6180 the moon|JP
0100ecf008474000|0100ecf0084740000000000000000004|fe5f3cf244007ee244ab485f011d98f7|0|6180 the moon|US
010064900c340000|00000000000000000000000000000000|00000000000000000000000000000000|0|7 Billion Humans|US
0100da900b67a000|00000000000000000000000000000000|00000000000000000000000000000000|0|7 Billion Humans|US
010006a0042f0000|010006a0042f00000000000000000000|3aa8e6d97c620e57a92ce77c9527f766|0|88 Heroes - 98 Heroes Edition|US
0100cf10099b2000|00000000000000000000000000000000|00000000000000000000000000000000|0|911 Operator|US
